example_id                                                     | status  | run_time        |
./spec/models/space_spec.rb[1:3:4:2]                           | unknown |                 |
./spec/monkey_patches/administrate_field_base_spec.rb[1:1:1:1] | passed  | 0.00033 seconds |
./spec/monkey_patches/administrate_field_base_spec.rb[1:1:2:1] | passed  | 0.0007 seconds  |
./spec/monkey_patches/administrate_field_base_spec.rb[1:1:3:1] | passed  | 0.00156 seconds |
./spec/monkey_patches/administrate_field_base_spec.rb[1:2:1]   | passed  | 0.00161 seconds |
./spec/monkey_patches/administrate_field_base_spec.rb[1:3:1:1] | passed  | 0.00066 seconds |
./spec/monkey_patches/administrate_field_base_spec.rb[1:3:2:1] | passed  | 0.00034 seconds |
./spec/monkey_patches/administrate_field_base_spec.rb[1:3:3:1] | passed  | 0.00092 seconds |
./spec/monkey_patches/administrate_field_base_spec.rb[1:3:4:1] | passed  | 0.00083 seconds |
./spec/requests/buildings_spec.rb[1:1:1]                       | unknown |                 |
./spec/requests/buildings_spec.rb[1:2:1]                       | unknown |                 |
./spec/requests/groups_spec.rb[1:1:1]                          | unknown |                 |
./spec/requests/groups_spec.rb[1:1:2]                          | unknown |                 |
./spec/requests/people_spec.rb[1:1:1]                          | unknown |                 |
./spec/requests/people_spec.rb[1:1:2]                          | unknown |                 |
./spec/requests/spaces_spec.rb[1:1:1]                          | unknown |                 |
./spec/requests/spaces_spec.rb[1:1:2]                          | unknown |                 |
./spec/views/buildings/index.html.erb_spec.rb[1:1]             | unknown |                 |
./spec/views/buildings/index.html.erb_spec.rb[1:2]             | unknown |                 |
./spec/views/buildings/show.html.erb_spec.rb[1:1]              | unknown |                 |
./spec/views/groups/index.html.erb_spec.rb[1:1]                | unknown |                 |
./spec/views/groups/index.html.erb_spec.rb[1:2]                | unknown |                 |
./spec/views/groups/show.html.erb_spec.rb[1:1]                 | unknown |                 |
./spec/views/groups/show.html.erb_spec.rb[1:2]                 | unknown |                 |
./spec/views/groups/show.html.erb_spec.rb[1:3]                 | unknown |                 |
./spec/views/persons/index.html.erb_spec.rb[1:1]               | unknown |                 |
./spec/views/persons/index.html.erb_spec.rb[1:2]               | unknown |                 |
./spec/views/persons/show.html.erb_spec.rb[1:1]                | unknown |                 |
./spec/views/spaces/index.html.erb_spec.rb[1:1]                | unknown |                 |
./spec/views/spaces/index.html.erb_spec.rb[1:2]                | unknown |                 |
./spec/views/spaces/show.html.erb_spec.rb[1:1]                 | unknown |                 |
